Date,level_0,index,High,Low,Open,Close,Volume,Adj Close
2019-12-31,0,0,421.2900085449219,402.0799865722656,405.0,418.3299865722656,10285700,418.3299865722656
2020-01-02,1,1,430.70001220703125,421.7099914550781,424.5,430.260009765625,9532100,430.260009765625
2020-01-03,2,2,454.0,436.9200134277344,440.5,443.010009765625,17778500,443.010009765625
2020-01-06,3,3,451.55999755859375,440.0,440.4700012207031,451.5400085449219,10133000,451.5400085449219
2020-01-07,4,4,471.6300048828125,453.3599853515625,461.3999938964844,469.05999755859375,17882100,469.05999755859375
2020-01-08,5,5,498.489990234375,468.2300109863281,473.70001220703125,492.1400146484375,31144300,492.1400146484375
2020-01-09,6,6,498.79998779296875,472.8699951171875,497.1000061035156,481.3399963378906,28440400,481.3399963378906
2020-01-10,7,7,484.94000244140625,473.70001220703125,481.7900085449219,478.1499938964844,12959500,478.1499938964844
2020-01-13,8,8,525.6300048828125,492.0,493.5,524.8599853515625,26517600,524.8599853515625
2020-01-14,9,9,547.4099731445312,524.9000244140625,544.260009765625,537.9199829101562,28996200,537.9199829101562
2020-01-15,10,10,537.8400268554688,516.7899780273438,529.760009765625,518.5,17368800,518.5
2020-01-16,11,11,514.4600219726562,492.1700134277344,493.75,513.489990234375,21736700,513.489990234375
2020-01-17,12,12,515.6699829101562,503.1600036621094,507.6099853515625,510.5,13629100,510.5
2020-01-21,13,13,548.5800170898438,528.4099731445312,530.25,547.2000122070312,17803500,547.2000122070312
2020-01-22,14,14,594.5,559.0999755859375,571.8900146484375,569.5599975585938,31369000,569.5599975585938
2020-01-23,15,15,582.0,555.5999755859375,564.25,572.2000122070312,19651000,572.2000122070312
2020-01-24,16,16,573.8599853515625,554.260009765625,570.6300048828125,564.8200073242188,14353600,564.8200073242188
2020-01-27,17,17,564.4400024414062,539.280029296875,541.989990234375,558.02001953125,13608100,558.02001953125
2020-01-28,18,18,576.8099975585938,558.0800170898438,568.489990234375,566.9000244140625,11788500,566.9000244140625
2020-01-29,19,19,589.7999877929688,567.4299926757812,575.6900024414062,580.989990234375,17801500,580.989990234375
2020-01-30,20,20,650.8800048828125,618.0,632.4199829101562,640.8099975585938,29005700,640.8099975585938
2020-01-31,21,21,653.0,632.52001953125,640.0,650.5700073242188,15719300,650.5700073242188
2020-02-03,22,22,786.1400146484375,673.52001953125,673.6900024414062,780.0,47233500,780.0
2020-02-04,23,23,968.989990234375,833.8800048828125,882.9600219726562,887.0599975585938,60938800,887.0599975585938
2020-02-05,24,24,845.97998046875,704.1099853515625,823.260009765625,734.7000122070312,48423800,734.7000122070312
2020-02-06,25,25,795.8300170898438,687.0,699.9199829101562,748.9600219726562,39880800,748.9600219726562
2020-02-07,26,26,769.75,730.0,730.5499877929688,748.0700073242188,17063500,748.0700073242188
2020-02-10,27,27,819.989990234375,752.4000244140625,800.0,771.280029296875,24689200,771.280029296875
2020-02-11,28,28,783.510009765625,758.0,768.7899780273438,774.3800048828125,11697500,774.3800048828125
2020-02-12,29,29,789.75,763.3699951171875,777.8699951171875,767.2899780273438,12022500,767.2899780273438
2020-02-13,30,30,818.0,735.0,741.8400268554688,804.0,26289300,804.0
2020-02-14,31,31,812.969970703125,785.5,787.219970703125,800.030029296875,15693700,800.030029296875
2020-02-18,32,32,860.0,832.3599853515625,841.5999755859375,858.4000244140625,16381700,858.4000244140625
2020-02-19,33,33,944.780029296875,901.02001953125,923.5,917.4199829101562,25423000,917.4199829101562
2020-02-20,34,34,912.0,859.9400024414062,911.9500122070312,899.4099731445312,17634900,899.4099731445312
2020-02-21,35,35,913.0599975585938,880.4500122070312,906.97998046875,901.0,14314800,901.0
2020-02-24,36,36,863.5,822.2000122070312,839.0,833.7899780273438,15192200,833.7899780273438
2020-02-25,37,37,856.5999755859375,787.0,849.0,799.9099731445312,17290500,799.9099731445312
2020-02-26,38,38,813.3099975585938,776.1099853515625,782.5,778.7999877929688,14085500,778.7999877929688
2020-02-27,39,39,739.77001953125,669.0,730.0,679.0,24149300,679.0
2020-02-28,40,40,690.52001953125,611.52001953125,629.7000122070312,667.989990234375,24564200,667.989990234375
2020-03-02,41,41,743.6900024414062,686.6699829101562,711.260009765625,743.6199951171875,20195000,743.6199951171875
2020-03-03,42,42,806.97998046875,716.1099853515625,805.0,745.510009765625,25784000,745.510009765625
2020-03-04,43,43,766.52001953125,724.72998046875,763.9600219726562,749.5,15049000,749.5
2020-03-05,44,44,745.75,718.0700073242188,723.77001953125,724.5399780273438,10852700,724.5399780273438
2020-03-06,45,45,707.0,684.27001953125,690.0,703.47998046875,12662900,703.47998046875
2020-03-09,46,46,663.0,605.0,605.3900146484375,608.0,17073700,608.0
2020-03-10,47,47,668.0,608.0,659.4299926757812,645.3300170898438,15594400,645.3300170898438
2020-03-11,48,48,653.5800170898438,613.0,640.2000122070312,634.22998046875,13322500,634.22998046875
2020-03-12,49,49,594.5,546.25,580.8900146484375,560.5499877929688,18909100,560.5499877929688
2020-03-13,50,50,607.5700073242188,502.0,595.0,546.6199951171875,22640300,546.6199951171875
2020-03-16,51,51,494.8699951171875,442.1700134277344,469.5,445.07000732421875,20489500,445.07000732421875
2020-03-17,52,52,471.8500061035156,396.0,440.010009765625,430.20001220703125,23994600,430.20001220703125
2020-03-18,53,53,404.8599853515625,350.510009765625,389.0,361.2200012207031,23786200,361.2200012207031
2020-03-19,54,54,452.0,358.4599914550781,374.70001220703125,427.6400146484375,30195500,427.6400146484375
2020-03-20,55,55,477.0,425.7900085449219,438.20001220703125,427.5299987792969,28285500,427.5299987792969
2020-03-23,56,56,442.0,410.5,433.6000061035156,434.2900085449219,16454500,434.2900085449219
2020-03-24,57,57,513.6900024414062,474.0,477.29998779296875,505.0,22895200,505.0
2020-03-25,58,58,557.0,511.1099853515625,545.25,539.25,21222700,539.25
2020-03-26,59,59,560.0,512.25,547.3900146484375,528.1599731445312,17380700,528.1599731445312
2020-03-27,60,60,525.7999877929688,494.0299987792969,505.0,514.3599853515625,14377400,514.3599853515625
2020-03-30,61,61,516.6500244140625,491.2300109863281,510.260009765625,502.1300048828125,11998100,502.1300048828125
2020-03-31,62,62,542.9600219726562,497.0,501.25,524.0,17771500,524.0
2020-04-01,63,63,513.9500122070312,475.1000061035156,504.0,481.55999755859375,13353200,481.55999755859375
2020-04-02,64,64,494.260009765625,446.3999938964844,481.0299987792969,454.4700012207031,19858400,454.4700012207031
2020-04-03,65,65,515.489990234375,468.3900146484375,509.5,480.010009765625,22562100,480.010009765625
2020-04-06,66,66,521.0,497.9599914550781,511.20001220703125,516.239990234375,14901800,516.239990234375
2020-04-07,67,67,565.0,532.3400268554688,545.0,545.4500122070312,17919800,545.4500122070312
2020-04-08,68,68,557.2100219726562,533.3300170898438,554.2000122070312,548.8400268554688,12656000,548.8400268554688
2020-04-09,69,69,575.1799926757812,557.1099853515625,562.0900268554688,573.0,13650000,573.0
2020-04-13,70,70,652.0,580.530029296875,590.1599731445312,650.9500122070312,22475400,650.9500122070312
2020-04-14,71,71,741.8800048828125,692.4299926757812,698.969970703125,709.8900146484375,30576500,709.8900146484375
2020-04-15,72,72,753.1300048828125,710.0,742.0,729.8300170898438,23577000,729.8300170898438
2020-04-16,73,73,759.4500122070312,706.719970703125,716.9400024414062,745.2100219726562,20657900,745.2100219726562
2020-04-17,74,74,774.9500122070312,747.6599731445312,772.280029296875,753.8900146484375,13128200,753.8900146484375
2020-04-20,75,75,765.5700073242188,712.2100219726562,732.7000122070312,746.3599853515625,14746600,746.3599853515625
2020-04-21,76,76,753.3300170898438,673.7899780273438,730.1199951171875,686.719970703125,20209100,686.719970703125
2020-04-22,77,77,734.0,688.7100219726562,703.97998046875,732.1099853515625,14224800,732.1099853515625
2020-04-23,78,78,734.0,703.1300048828125,727.5999755859375,705.6300048828125,13236700,705.6300048828125
2020-04-24,79,79,730.72998046875,698.1799926757812,710.8099975585938,725.1500244140625,13237600,725.1500244140625
2020-04-27,80,80,799.489990234375,735.0,737.6099853515625,798.75,20681400,798.75
2020-04-28,81,81,805.0,756.6900024414062,795.6400146484375,769.1199951171875,15222000,769.1199951171875
2020-04-29,82,82,803.2000122070312,783.1599731445312,790.1699829101562,800.510009765625,16216000,800.510009765625
2020-04-30,83,83,869.8200073242188,763.5,855.1900024414062,781.8800048828125,28400100,781.8800048828125
2020-05-01,84,84,772.77001953125,683.0399780273438,755.0,701.3200073242188,32531800,701.3200073242188
2020-05-04,85,85,762.0,698.0,701.0,761.1900024414062,19237100,761.1900024414062
2020-05-05,86,86,798.9199829101562,762.1799926757812,789.7899780273438,768.2100219726562,16991700,768.2100219726562
2020-05-06,87,87,789.7999877929688,761.1099853515625,776.5,782.5800170898438,11123200,782.5800170898438
2020-05-07,88,88,796.4000244140625,772.3499755859375,777.2100219726562,780.0399780273438,11527700,780.0399780273438
2020-05-08,89,89,824.0,787.010009765625,793.77001953125,819.4199829101562,16130100,819.4199829101562
2020-05-11,90,90,824.0,785.0,790.510009765625,811.2899780273438,16519600,811.2899780273438
2020-05-12,91,91,843.2899780273438,808.0,827.0,809.4099731445312,15906900,809.4099731445312
2020-05-13,92,92,826.0,763.2999877929688,820.8300170898438,790.9600219726562,19065500,790.9600219726562
2020-05-14,93,93,803.3599853515625,764.0,780.0,803.3300170898438,13682200,803.3300170898438
2020-05-15,94,94,805.0499877929688,786.5499877929688,790.3499755859375,799.1699829101562,10518400,799.1699829101562
2020-05-18,95,95,834.719970703125,803.8800048828125,827.780029296875,813.6300048828125,11698100,813.6300048828125
2020-05-19,96,96,822.0700073242188,806.0800170898438,815.1699829101562,808.010009765625,9636500,808.010009765625
2020-05-20,97,97,826.0,811.7999877929688,820.5,815.5599975585938,7309300,815.5599975585938
2020-05-21,98,98,832.5,796.0,816.0,827.5999755859375,12254600,827.5999755859375
2020-05-22,99,99,831.780029296875,812.0,822.1699829101562,816.8800048828125,9987500,816.8800048828125
2020-05-26,100,100,834.5999755859375,815.7100219726562,834.5,818.8699951171875,8089700,818.8699951171875
2020-05-27,101,101,827.7100219726562,785.0,820.8599853515625,820.22998046875,11549500,820.22998046875
2020-05-28,102,102,824.75,801.6900024414062,813.510009765625,805.8099975585938,7255600,805.8099975585938
2020-05-29,103,103,835.0,804.2100219726562,808.75,835.0,11764500,835.0
